ats,slug,company,careers_url,total_open_roles,relevant_open_roles,junior_relevant_open_roles,sample_relevant_title
ashby,openai,openai,https://jobs.ashbyhq.com/openai,753,455,372,Research Engineer
lever,gopuff,gopuff,https://jobs.lever.co/gopuff,815,359,346,Data Engineer
ashby,applied,applied,https://jobs.ashbyhq.com/applied,262,190,137,Hardware Test Engineer
greenhouse,stripe,stripe,https://boards.greenhouse.io/stripe,548,185,129,"Account Executive, AI Sales (Grower)"
greenhouse,anthropic,anthropic,https://boards.greenhouse.io/anthropic,400,234,106,AI Compliance Officer
greenhouse,waymo,waymo,https://boards.greenhouse.io/waymo,395,255,87,ASIC Design Verification Engineer 
ashby,sierra,sierra,https://jobs.ashbyhq.com/sierra,175,66,62,Sales Engineer
ashby,snowflake,snowflake,https://jobs.ashbyhq.com/snowflake,404,221,60,"Software Engineer - Secret, Cryptographic and Identity Infrastructure"
ashby,elevenlabs,elevenlabs,https://jobs.ashbyhq.com/elevenlabs,224,52,49,Enterprise Solutions Engineer - North America
ashby,crusoe,crusoe,https://jobs.ashbyhq.com/crusoe,369,173,42,Mechanical Engineer
greenhouse,clickhouse,clickhouse,https://boards.greenhouse.io/clickhouse,166,124,41,AI Product Engineer - ClickStack
ashby,clickhouse,clickhouse,https://jobs.ashbyhq.com/clickhouse,166,124,41,Full Stack Software Engineer - Billing Team
greenhouse,databricks,databricks,https://boards.greenhouse.io/databricks,803,453,39,AI Engineer - FDE (Forward Deployed Engineer)
ashby,skydio,skydio,https://jobs.ashbyhq.com/skydio,114,69,38,Electrical Engineer (all levels) 
greenhouse,tailscale,tailscale,https://boards.greenhouse.io/tailscale,55,46,38,"Backend Engineer, Identity"
ashby,ramp,ramp,https://jobs.ashbyhq.com/ramp,126,41,37," Security Engineer, Cloud"
greenhouse,samsara,samsara,https://boards.greenhouse.io/samsara,308,113,36,"Applied AI Specialist, Commercial Customer Success"
ashby,cohere,cohere,https://jobs.ashbyhq.com/cohere,142,78,36,Revenue Operations Analyst (Analytics)
greenhouse,verkada,verkada,https://boards.greenhouse.io/verkada,275,98,32,AI Marketing Engineer
greenhouse,figma,figma,https://boards.greenhouse.io/figma,176,52,32,AI Applied Scientist
ashby,baseten,baseten,https://jobs.ashbyhq.com/baseten,61,36,32,Software Engineer - Dedicated Inference 
ashby,supabase,supabase,https://jobs.ashbyhq.com/supabase,56,32,29,Support Engineer (AMER)
greenhouse,vercel,vercel,https://boards.greenhouse.io/vercel,81,36,27,"DevRel Engineer, Agentic Infrastructure"
greenhouse,asana,asana,https://boards.greenhouse.io/asana,143,63,26,Analytical Engineer
ashby,notion,notion,https://jobs.ashbyhq.com/notion,109,33,26,"Forward Deployed Engineer, GTM, AMER"
greenhouse,nuro,nuro,https://boards.greenhouse.io/nuro,100,66,24,"Full Stack Software Engineer, Fleet Platform and Operations Tooling"
ashby,writer,writer,https://jobs.ashbyhq.com/writer,55,40,24,"Software engineer, generative AI"
greenhouse,postman,postman,https://boards.greenhouse.io/postman,111,49,22,"AI Engineer, Intern"
greenhouse,cresta,cresta,https://boards.greenhouse.io/cresta,98,59,21,AI Quality Assurance Intern
greenhouse,hightouch,hightouch,https://boards.greenhouse.io/hightouch,68,30,21,AI Strategy Consultant 
ashby,benchling,benchling,https://jobs.ashbyhq.com/benchling,49,24,21,"Software Engineer, Agents (Growth) "
greenhouse,fivetran,fivetran,https://boards.greenhouse.io/fivetran,200,85,20,C/C++ Developper - Oracle Databases
ashby,replit,replit,https://jobs.ashbyhq.com/replit,88,46,20,Design Engineer
ashby,langchain,langchain,https://jobs.ashbyhq.com/langchain,93,33,20,Python OSS Engineer 
ashby,deepgram,deepgram,https://jobs.ashbyhq.com/deepgram,77,43,18,Pre-Sales Solutions Engineer (EST or PST)
greenhouse,oscar,oscar,https://boards.greenhouse.io/oscar,252,45,17,"Analyst, Regulatory Affairs"
ashby,formenergy,formenergy,https://jobs.ashbyhq.com/formenergy,178,126,16,Supply Chain Logistics Analyst 
greenhouse,intercom,intercom,https://boards.greenhouse.io/intercom,126,60,16,AI Design Leader
ashby,sardine,sardine,https://jobs.ashbyhq.com/sardine,40,24,15,Machine Learning Engineer
ashby,workos,workos,https://jobs.ashbyhq.com/workos,24,16,15,Site Reliability Engineer
ashby,kong,kong,https://jobs.ashbyhq.com/kong,93,47,14,Software Engineer - Event Gateway 
greenhouse,launchdarkly,launchdarkly,https://boards.greenhouse.io/launchdarkly,34,24,14,"AI Specialist - Enterprise & Strategic Accounts, AgentControl"
ashby,plaid,plaid,https://jobs.ashbyhq.com/plaid,113,45,13,Technical Support Engineer
ashby,vanta,vanta,https://jobs.ashbyhq.com/vanta,100,42,13,"Solutions Engineer, Upmarket (Pre-Sales) - EMEA (German Speaking)"
ashby,render,render,https://jobs.ashbyhq.com/render,34,19,13,"Software Engineer, Product (all levels)"
ashby,fireworks,fireworks,https://jobs.ashbyhq.com/fireworks,46,18,13,"MTS, Research Engineer"
ashby,braintrust,braintrust,https://jobs.ashbyhq.com/braintrust,24,13,13,Cloud Infrastructure Engineer
greenhouse,flexport,flexport,https://boards.greenhouse.io/flexport,152,35,12,Air Operations Associate
ashby,oligo,oligo,https://jobs.ashbyhq.com/oligo,15,15,12,Generative Spacecraft Design Software Engineer (ML/AI)
ashby,physicalintelligence,physicalintelligence,https://jobs.ashbyhq.com/physicalintelligence,24,13,12,ML Infra Engineer (Data Systems)
greenhouse,brex,brex,https://boards.greenhouse.io/brex,302,98,10,"AI Engineer, Ecosystem"
greenhouse,singlestore,singlestore,https://boards.greenhouse.io/singlestore,37,27,10,Engineering Talent Community 
greenhouse,airtable,airtable,https://boards.greenhouse.io/airtable,40,16,10,"Demo Engineer, Pre-Sales Solutions Consulting"
ashby,anyscale,anyscale,https://jobs.ashbyhq.com/anyscale,19,15,10,"Software Engineer, Ray Core"
ashby,distyl,distyl,https://jobs.ashbyhq.com/distyl,17,13,10,Software Engineer - Back End
ashby,reducto,reducto,https://jobs.ashbyhq.com/reducto,28,13,10,"Forward Deployed Engineer, Infrastructure Specialist"
ashby,e2b,e2b,https://jobs.ashbyhq.com/e2b,15,12,10,Product Engineer - AI
ashby,perplexity,perplexity,https://jobs.ashbyhq.com/perplexity,87,56,9,"Governance, Risk & Compliance Analyst "
ashby,watershed,watershed,https://jobs.ashbyhq.com/watershed,38,21,9,Sustainability Data Advisor
ashby,modal,modal,https://jobs.ashbyhq.com/modal,31,15,9,Forward Deployed Engineer - ML
ashby,netbird,netbird,https://jobs.ashbyhq.com/netbird,11,10,9,Open Source Engineer
ashby,sentry,sentry,https://jobs.ashbyhq.com/sentry,48,38,8,Solutions Engineer
greenhouse,planetscale,planetscale,https://boards.greenhouse.io/planetscale,9,8,8,Developer Educator
ashby,resend,resend,https://jobs.ashbyhq.com/resend,12,8,8,Product Engineer
greenhouse,cribl,cribl,https://boards.greenhouse.io/cribl,67,31,7,CX Ops Associate Analyst
ashby,ashby,ashby,https://jobs.ashbyhq.com/ashby,57,27,7,Design Engineer - EU
ashby,synthesia,synthesia,https://jobs.ashbyhq.com/synthesia,76,21,7,Research Engineer in Data
ashby,lightning,lightning,https://jobs.ashbyhq.com/lightning,13,10,7,Assets Protocol Engineer (Remote)
lever,metabase,metabase,https://jobs.lever.co/metabase,18,9,7,Analytics Engineer
greenhouse,watershed,watershed,https://boards.greenhouse.io/watershed,8,8,7,"Customer Success Engineer, Bioinformatics"
ashby,hud,hud,https://jobs.ashbyhq.com/hud,12,8,7,Research Engineer (General)
greenhouse,gusto,gusto,https://boards.greenhouse.io/gusto,85,35,6,"Data Scientist, Risk "
greenhouse,chainguard,chainguard,https://boards.greenhouse.io/chainguard,70,30,6,AI Solutions Engineer
ashby,drata,drata,https://jobs.ashbyhq.com/drata,56,29,6,"AI Product Engineer, Evidence"
ashby,astronomer,astronomer,https://jobs.ashbyhq.com/astronomer,25,15,6,Sales Engineer
ashby,middesk,middesk,https://jobs.ashbyhq.com/middesk,22,8,6,Software Engineer
ashby,clickup,clickup,https://jobs.ashbyhq.com/clickup,64,34,5,"Automations Engineer, Post Sales Systems"
greenhouse,amplitude,amplitude,https://boards.greenhouse.io/amplitude,42,26,5,Customer Data Scientist - Experimentation
ashby,amplitude,amplitude,https://jobs.ashbyhq.com/amplitude,42,26,5,Technical Support Engineer (Statsig)
ashby,linear,linear,https://jobs.ashbyhq.com/linear,23,10,5,Product Engineer
ashby,vapi,vapi,https://jobs.ashbyhq.com/vapi,32,10,5,Solutions Engineer - SF
greenhouse,bigid,bigid,https://boards.greenhouse.io/bigid,12,7,5,DevOps Engineer
greenhouse,greenhouse,greenhouse,https://boards.greenhouse.io/greenhouse,21,7,5,Data Scientist
ashby,material,material,https://jobs.ashbyhq.com/material,8,6,5,Infrastructure Security Engineer
ashby,extend,extend,https://jobs.ashbyhq.com/extend,9,6,5,Applied AI/ML Engineer
greenhouse,faire,faire,https://boards.greenhouse.io/faire,72,37,4,Data Science Intern
greenhouse,latitude,latitude,https://boards.greenhouse.io/latitude,46,30,4,GIS Production Analyst (Contractor)
ashby,opsmill,opsmill,https://jobs.ashbyhq.com/opsmill,8,6,4,Product Reliability Engineer | US
ashby,nanonets,nanonets,https://jobs.ashbyhq.com/nanonets,14,6,4,Forward Deployed Engineer
greenhouse,nanonets,nanonets,https://boards.greenhouse.io/nanonets,17,6,4,AI Sales Engineer
ashby,phonely,phonely,https://jobs.ashbyhq.com/phonely,18,5,4,DevOps Engineer
ashby,turbopuffer,turbopuffer,https://jobs.ashbyhq.com/turbopuffer,6,4,4,deployed engineer
greenhouse,apiiro,apiiro,https://boards.greenhouse.io/apiiro,8,4,4,AI Engineer
greenhouse,instacart,instacart,https://boards.greenhouse.io/instacart,121,59,3,Customer Experience Specialist: Retail
greenhouse,raft,raft,https://boards.greenhouse.io/raft,17,13,3,Engineer
greenhouse,yugabyte,yugabyte,https://boards.greenhouse.io/yugabyte,16,12,3, Software Engineer 
ashby,railway,railway,https://jobs.ashbyhq.com/railway,8,8,3,Infrastructure Engineer
ashby,graphite,graphite,https://jobs.ashbyhq.com/graphite,7,7,3,"Software Engineer, Origin"
ashby,mintlify,mintlify,https://jobs.ashbyhq.com/mintlify,19,7,3,Support Engineer
greenhouse,assemblyai,assemblyai,https://boards.greenhouse.io/assemblyai,9,6,3,Applied AI Engineer 
ashby,nuon,nuon,https://jobs.ashbyhq.com/nuon,5,5,3,Sales Engineer
ashby,formal,formal,https://jobs.ashbyhq.com/formal,11,5,3,Solutions Engineer
ashby,monaco,monaco,https://jobs.ashbyhq.com/monaco,12,5,3,Backend Product Engineer
ashby,coder,coder,https://jobs.ashbyhq.com/coder,19,5,3,Software Engineer (AI Governance)
ashby,stytch,stytch,https://jobs.ashbyhq.com/stytch,5,4,3,Experienced Backend Engineer (Product)
ashby,neon,neon,https://jobs.ashbyhq.com/neon,6,4,3,Payment Operations Analyst
ashby,moderntreasury,moderntreasury,https://jobs.ashbyhq.com/moderntreasury,8,4,3,Software Engineer 
ashby,windmill,windmill,https://jobs.ashbyhq.com/windmill,3,3,3,Software Engineer
ashby,runloop,runloop,https://jobs.ashbyhq.com/runloop,3,3,3,"Software Engineer, Full Stack"
ashby,greptile,greptile,https://jobs.ashbyhq.com/greptile,4,3,3,Developer Advocate
ashby,column,column,https://jobs.ashbyhq.com/column,23,3,3,Software Engineer
greenhouse,salesloft,salesloft,https://boards.greenhouse.io/salesloft,30,18,2,Future Sales Engineer Opportunities at Salesloft
greenhouse,mercury,mercury,https://boards.greenhouse.io/mercury,57,17,2,"Counsel, Product & Regulatory - Payments & AML"
greenhouse,checkr,checkr,https://boards.greenhouse.io/checkr,55,16,2,AI Conversation Designer
lever,outreach,outreach,https://jobs.lever.co/outreach,33,9,2,"Applied Scientist, Sync"
greenhouse,mixpanel,mixpanel,https://boards.greenhouse.io/mixpanel,43,9,2,"Software Engineer, AI Platform"
greenhouse,lithic,lithic,https://boards.greenhouse.io/lithic,9,7,2,"Software Engineer, Treasury"
ashby,airbyte,airbyte,https://jobs.ashbyhq.com/airbyte,10,6,2,Customer Support Developer (Databases)
ashby,blacksmith,blacksmith,https://jobs.ashbyhq.com/blacksmith,19,6,2, Solutions Engineer
ashby,nomic,nomic,https://jobs.ashbyhq.com/nomic,5,5,2,Data Analyst
greenhouse,descope,descope,https://boards.greenhouse.io/descope,6,5,2,Full-Stack Software Engineer
greenhouse,labelbox,labelbox,https://boards.greenhouse.io/labelbox,8,5,2,"Forward Deployed Engineer, RL Environments"
ashby,secureframe,secureframe,https://jobs.ashbyhq.com/secureframe,18,5,2,Sales Solutions Engineer
